"name","pointx_class","lat","lon","poi_class","Bus stop","Railway stations","Taxi rank","Underground entrance","id"
"Bus Stop (Roding Hall)",10590732,51.6516964245811,0.119504307130456,"Bus stop",1,0,0,0,177
"Bus Stop (Passingford Bridge Rdbt)",10590732,51.6542418135801,0.171640525596697,"Bus stop",1,0,0,0,178
"Bus Stop (Passingford Bridge Rdbt)",10590732,51.65419111097,0.171464613281338,"Bus stop",1,0,0,0,179
"Bus Stop (Goldings Road)",10590732,51.6592960332792,0.0669974739162513,"Bus stop",1,0,0,0,180
"Bus Stop (Castell Road)",10590732,51.6599868589894,0.0818493920576183,"Bus stop",1,0,0,0,181
"Bus Stop (Maple Gate)",10590732,51.6558871834571,0.0680568012544115,"Bus stop",1,0,0,0,182
"Bus Stop (Debden Station)",10590732,51.645294672792,0.0822603018578605,"Bus stop",1,0,0,0,183
"Bus Stop (Debden Station)",10590732,51.6453719339706,0.0819603004699986,"Bus stop",1,0,0,0,184
"Bus Stop (Pyrles Lane)",10590732,51.6569421453757,0.0775748416297183,"Bus stop",1,0,0,0,185
"Bus Stop (Hillyfields)",10590732,51.6562865461701,0.0709087148084826,"Bus stop",1,0,0,0,186
"Bus Stop (Monkhams Inn)",10590732,51.6184204637897,0.04568106194656,"Bus stop",1,0,0,0,187
"Bus Stop (Monkhams Inn)",10590732,51.6181011897502,0.04594117007525,"Bus stop",1,0,0,0,188
"Bus Stop (Green Ln)",10590732,51.6537915196733,0.257958205153836,"Bus stop",1,0,0,0,189
"Bus Stop (The White Horse)",10590732,51.6400669278055,0.258504761442357,"Bus stop",1,0,0,0,190
"Bus Stop (Freddies)",10590732,51.6628236279394,-0.00224910948761,"Bus stop",1,0,0,0,191
"Bus Stop (Loughton Library)",10590732,51.6492630040092,0.059168675882024,"Bus stop",1,0,0,0,192
"Bus Stop (Stag Lane)",10590732,51.626009129498,0.0322822633795645,"Bus stop",1,0,0,0,193
"Bus Stop (Stag Lane)",10590732,51.6252663329647,0.0315555706844716,"Bus stop",1,0,0,0,194
"Bus Stop (Loughton Station)",10590732,51.641952512049,0.0550362357343558,"Bus stop",1,0,0,0,195
"Bus Stop (Buckhurst Hill Station)",10590732,51.6265046807473,0.0462036500863546,"Bus stop",1,0,0,0,196
"Bus Stop (Chigwell Station)",10590732,51.6189990408711,0.0752201225127418,"Bus stop",1,0,0,0,197
"Bus Stop (Chigwell Station)",10590732,51.6190727102156,0.0751223617079962,"Bus stop",1,0,0,0,198
