"name","pointx_class","lat","lon","poi_class","Entertainment","Gambling","Sports","id"
"Tennis Court",4240305,51.4721193843672,-0.0542214956984645,"Sports",0,0,1,6584
"Tennis Court",4240305,51.3349106466959,0.176570810974229,"Sports",0,0,1,6585
"Tennis Court",4240305,51.3068393181262,0.237354288747548,"Sports",0,0,1,6586
"Tennis Courts",4240305,51.6276120427222,0.0259098233271926,"Sports",0,0,1,6587
"Tennis Court",4240305,51.6326969239419,0.143169693833609,"Sports",0,0,1,6588
"Tennis Court",4240305,51.5033758054535,-0.033077805812752,"Sports",0,0,1,6589
"Tennis Court",4240305,51.5872209579256,-0.379515441645247,"Sports",0,0,1,6590
"Tennis Court",4240305,51.4058004343091,-0.0871318396474538,"Sports",0,0,1,6591
"Tennis Court",4240305,51.5025368961809,-0.026500261014662,"Sports",0,0,1,6592
"Tennis Court",4240305,51.5559903124388,0.0897483925640787,"Sports",0,0,1,6593
"Tennis Court",4240305,51.5524788860484,-0.553173467079732,"Sports",0,0,1,6594
"Tennis Court",4240305,51.4776595688943,-0.541141740144994,"Sports",0,0,1,6595
"Sports Court",4240293,51.5824068741474,-0.224525116174731,"Sports",0,0,1,6596
"Tennis Court",4240305,51.5547058226283,-0.550737202775794,"Sports",0,0,1,6597
"Tennis Court",4240305,51.5612766037051,-0.34969422444362,"Sports",0,0,1,6598
"Tennis Court",4240305,51.486096919874,-0.286688203055112,"Sports",0,0,1,6599
"Tennis Court",4240305,51.506401519201,-0.210203819392188,"Sports",0,0,1,6600
"Sports Facility",4240293,51.5136185414172,-0.220585857477718,"Sports",0,0,1,6601
"Tennis Court",4240305,51.5137787260533,-0.284453621847475,"Sports",0,0,1,6602
"Tennis Court",4240305,51.4381301888373,-0.115507957814266,"Sports",0,0,1,6603
"Tennis Court",4240305,51.4378739666618,-0.115791881758661,"Sports",0,0,1,6604
"Tennis Court",4240305,51.4576353739605,-0.0844472973104716,"Sports",0,0,1,6605
"Tennis Court",4240305,51.4463726899326,-0.0401479591200454,"Sports",0,0,1,6606
"Tennis Court",4240305,51.3693387934808,-0.0917837767824888,"Sports",0,0,1,6607
"Tennis Court",4240305,51.380365341768,-0.0304666586643993,"Sports",0,0,1,6608
"Tennis Court",4240305,51.3908445939763,-0.201780737636355,"Sports",0,0,1,6609
"Tennis Court",4240305,51.3456429494948,-0.178780868208587,"Sports",0,0,1,6610
"Tennis Court",4240305,51.3565131459728,-0.373594035392618,"Sports",0,0,1,6611
"Tennis Court",4240305,51.6265179905796,-0.314474206309557,"Sports",0,0,1,6612
"Tennis Court",4240305,51.6185718697348,-0.470326421282931,"Sports",0,0,1,6613
